BOL #,PO_SKU_Key,Shipped Qty,Shipping Fee,Act. Ship Date,Signed BOL,Status( Fulfilled ),TimeStamp
31304749,4573|F101600,1,$446.00,2025/08/04,FALSE,,
31305239,OR021925TN|F101618,3,"$1,428.00",2025/08/11,FALSE,Fulfilled,2025/9/4 PM 1:36:07
31305239,OR021925TN|F101622,2,$0.00,2025/08/11,FALSE,Fulfilled,2025/9/4 PM 2:02:13
31304232,PO0042275|F101600,1,$574.00,2025/08/05,FALSE,Fulfilled,2025/9/4 PM 2:53:33
31323438,CC030625FL|F101600,2,$598.00,2025/08/08,TRUE,Fulfilled,2025/9/4 PM 3:02:43
31323438,CC030625FL|F101612,1,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/4 PM 3:03:46
31327873,QB22610121|F101600,2,$751.30,2025/08/08,TRUE,Fulfilled,2025/9/5 PM 2:50:24
31325817,OR021025NC|F101618,3,$348.00,2025/08/08,TRUE,Fulfilled,2025/9/5 PM 2:52:44
N/A,1540|F101600,3,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:54:00
N/A,1540|F101612,1,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:54:44
N/A,PO-000017|F101600,4,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:55:53
N/A,PO-000017|F101606,1,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:56:27
N/A,PO-000017|F101610,1,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:57:08
N/A,PO-000017|F101612,1,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:57:53
N/A,PO-000019|F101600,1,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:58:32
N/A,PO-000110|F101600,1,$0.00,2025/08/08,FALSE,Fulfilled,2025/9/5 PM 2:59:00
31326180,CC052825WA|F101600,1,$0.00,2025/08/11,FALSE,Fulfilled,2025/9/5 PM 3:00:05
31326180,CC052825WA|F101612,1,$0.00,2025/08/11,FALSE,Fulfilled,2025/9/5 PM 3:00:56
31347550,15883|F101600,3,"$1,280.00",2025/08/14,FALSE,Fulfilled,2025/9/5 PM 3:02:44
31347550,15883|F101606,1,$0.00,2025/08/14,FALSE,Fulfilled,2025/9/5 PM 3:03:35
31347550,15883|F101610,1,$0.00,2025/08/14,FALSE,Fulfilled,2025/9/5 PM 3:04:06
31347550,15883|F101612,2,$0.00,2025/08/14,FALSE,Fulfilled,2025/9/5 PM 3:04:33
31353157,3503025|F101622,1,$678.00,2025/08/15,FALSE,Fulfilled,2025/9/5 PM 3:06:35
31349827,3041-1C|F101600,1,$239.00,2025/08/14,TRUE,Fulfilled,2025/9/5 PM 3:07:54
31421257,POM2CD9|F101600,8,"$2,087.00",2025/08/28,FALSE,,2025/9/10 AM 11:51:35
31421257,POM2CD9|F101612,8,$0.00,2025/08/28,FALSE,Fulfilled,2025/9/10 AM 11:52:16
31369119,P13560|F101618,1,$345.00,2025/08/17,FALSE,Fulfilled,2025/9/10 AM 11:52:44
31398040,16274|F101600,6,"$1,109.00",2025/08/28,FALSE,Fulfilled,2025/9/10 AM 11:54:12
PRO8892,1726|F101623,1,$0.00,2025/08/28,FALSE,Fulfilled,2025/9/10 AM 11:55:51
PRO8892,PO-000125|F101600,2,$0.00,2025/08/28,FALSE,Fulfilled,2025/9/10 AM 11:56:49
31353521,PO-250728|F101600,2,"$1,187.00",2025/08/15,FALSE,Fulfilled,2025/9/15 PM 3:11:14
31353521,PO-250728|F101612,1,$0.00,2025/08/15,FALSE,Fulfilled,2025/9/15 PM 3:12:13
31417393,350-3085|F101604,1,$781.00,2025/08/28,FALSE,Fulfilled,2025/9/15 PM 4:22:52
31427483,PO-2508123|F101600,1,$422.00,2025/08/28,FALSE,Fulfilled,2025/9/15 PM 4:24:23
PRO8892,PO-000081|F101600,3,$0.00,2025/08/29,FALSE,Fulfilled,2025/9/15 PM 5:04:38
PRO8892,PO-000081|F101612,1,$0.00,2025/08/29,FALSE,Fulfilled,2025/9/15 PM 5:05:15
31305879,2882-2C|F101600,5,$561.00,2025/08/04,FALSE,Fulfilled,2025/9/24 AM 8:25:15
31353312,13762|F101618,4,"$1,438.00",2025/08/13,FALSE,Fulfilled,2025/9/24 AM 8:48:26
31353312,13762|F101619,2,$0.00,2025/08/13,FALSE,Fulfilled,2025/9/24 AM 8:49:24
31353312,13762|F101620,1,$0.00,2025/08/13,FALSE,Fulfilled,2025/9/24 AM 8:49:50
31353312,13762|F101623,2,$0.00,2025/08/13,FALSE,Fulfilled,2025/9/24 AM 8:50:21
31502331,350-3147|F101618,1,$556.00,2025/09/17,FALSE,Fulfilled,2025/9/24 AM 9:27:32
31502331,350-3147|F101620,2,$0.00,2025/09/17,FALSE,Fulfilled,2025/9/24 AM 9:28:30
31588071,735-2578|F101613,2,$589.00,2025/10/02,FALSE,Fulfilled,2025/10/9 AM 9:23:25
31469729,7317|F101600,1,"$1,091.00",2025/09/10,TRUE,Fulfilled,2025/11/5 AM 8:35:38
31469729,7317|F101604,1,$0.00,2025/09/10,TRUE,Fulfilled,2025/11/5 AM 8:39:27
31722443,2894-1C|F101600,2,$0.00,2025/11/04,TRUE,,2025/11/5 AM 9:02:56
31722443,2894-1C|F101606,1,"$1,416.00",2025/11/04,TRUE,,2025/11/5 AM 9:06:02
31722443,2894-1C|F101610,1,$0.00,2025/11/04,TRUE,,2025/11/5 AM 9:09:10
31722443,2894-1C|F101612,2,$0.00,2025/11/04,TRUE,Fulfilled,2025/11/5 AM 9:12:23
31759766,3779C|F101612,1,$0.00,2025/11/12,FALSE,,2025/11/13 AM 3:48:17
31759766,3778C|F101600,2,$0.00,2025/11/12,FALSE,Fulfilled,2025/11/13 AM 5:37:10
FPX0034461,1139|F101600,2,$0.00,2025/11/12,FALSE,,2025/11/14 AM 4:57:40
FPX0034461,1139|F101612,1,$0.00,2025/11/12,FALSE,,2025/11/14 AM 5:14:38
31735108,11727N|F101623,1,"$1,206.00",2025/11/14,FALSE,,2025/11/14 AM 8:26:01
31735108,11727N|F101618,2,$0.00,2025/11/07,FALSE,,2025/11/14 AM 8:28:57
31741442,250721|F101600,1,$459.00,2025/11/10,FALSE,Fulfilled,2025/11/14 AM 8:42:43
31805693,3877C|F101600,1,$241.00,2025/11/21,FALSE,,2025/11/20 AM 7:05:11
31831478,#PO25914|F101601,1,$457.00,2025/12/01,FALSE,,2025/11/27 AM 1:41:06